GENE_NAME,Sumo,Diff,minLogP
ATF6,NSMCE2,NA,NA
BCL11B,NSMCE2,2.88,1.7
BCLAF1,NSMCE2,3.37,2.53
BHLHE40,NSMCE2,NA,NA
BHLHE41,NSMCE2,4.7,2.74
BNC2,NSMCE2,NA,NA
BRD8,NSMCE2,1.52,1.86
BRIX1,NSMCE2,3.09,2.21
CASP8AP2,NSMCE2,6.1,4.12
CCAR2,NSMCE2,NA,NA
CDC5L,NSMCE2,2.49,3.78
CDK11A,NSMCE2,4.83,2.86
CENPC,NSMCE2,4.82,5.29
CHD4,NSMCE2,0.9,3.64
COIL,NSMCE2,6.46,12.63
DDX18,NSMCE2,3.87,4.28
DKC1,NSMCE2,3.4,2.61
DNTTIP2,NSMCE2,6.33,7.66
ELMSAN1,NSMCE2,2.16,7.35
EMSY;C11orf30,NSMCE2,5.67,6.35
ETV6,NSMCE2,2.65,2.13
EXOSC10,NSMCE2,6.14,14.6
FAM111A,NSMCE2,4.44,5.41
FOSL2,NSMCE2,2.64,1.79
FOXM1,NSMCE2,NA,NA
FTSJ3,NSMCE2,1.5,7.15
GLYR1,NSMCE2,2.24,2.2
GTF2I,NSMCE2,NA,NA
GTF2IRD1,NSMCE2,NA,NA
HDAC1,NSMCE2,1.96,1.75
HDX,NSMCE2,4.74,5.08
HIPK1,NSMCE2,3.63,1.99
HJURP,NSMCE2,3.89,2.51
HMBOX1,NSMCE2,5.2,4.04
HMG20B,NSMCE2,3.45,1.76
HNRNPC,NSMCE2,6.57,5.42
HNRNPM,NSMCE2,3.63,2.55
HSF1,NSMCE2,4.85,2.86
INTS12,NSMCE2,3.91,4.85
KANSL1,NSMCE2,3.21,2.94
KCTD1,NSMCE2,3.07,1.76
KDM4A,NSMCE2,3.23,3.79
KDM5B,NSMCE2,3.6,2.69
KIAA1551,NSMCE2,5.13,10.78
LAMB2,NSMCE2,NA,NA
LAS1L,NSMCE2,3.82,4.37
LMNA,NSMCE2,2.26,1.89
LMNB1,NSMCE2,4.56,2.07
LMNB2,NSMCE2,3.07,2.4
MAFG,NSMCE2,3.52,2.88
MAFK,NSMCE2,2.19,3.24
MAGED4,NSMCE2,2.34,2.72
MATR3,NSMCE2,3.89,1.8
MBD1,NSMCE2,NA,NA
MED6,NSMCE2,2.93,7.56
MGA,NSMCE2,4.91,3.02
MIS18BP1,NSMCE2,6.36,3.21
MKI67,NSMCE2,2.49,2.76
MORC2,NSMCE2,3.27,4.03
MORC3,NSMCE2,3.89,1.65
MPHOSPH10,NSMCE2,6.59,10.79
MSANTD4,NSMCE2,6.44,3.38
MVP,NSMCE2,NA,NA
NAB2,NSMCE2,5,2.39
NFIL3,NSMCE2,2.71,3.78
NHP2,NSMCE2,4.5,8.02
NIFK,NSMCE2,7.51,11.7
NOL10,NSMCE2,4.47,11.44
NOP2,NSMCE2,6.4,4.37
NOP58,NSMCE2,5.6,5.34
NOVA2,NSMCE2,2.29,3.9
NPAT,NSMCE2,5.62,3.06
NR3C1,NSMCE2,NA,NA
NUMA1,NSMCE2,4.18,2.17
OGDH,NSMCE2,NA,NA
PHF21A,NSMCE2,4.1,4.5
PIAS1,NSMCE2,NA,NA
PIAS2,NSMCE2,NA,NA
PIAS3,NSMCE2,NA,NA
PLOD3,NSMCE2,NA,NA
PML,NSMCE2,4.15,2.49
PML-11,NSMCE2,3.75,4.64
PNN,NSMCE2,3.21,3.42
POLR3D,NSMCE2,4.14,2.3
PTGFRN,NSMCE2,NA,NA
PTRF,NSMCE2,4.48,5.98
RAD18,NSMCE2,8.35,6.8
RAD54L2,NSMCE2,5.02,3.99
RANGAP1,NSMCE2,6.85,4.94
RBBP6,NSMCE2,4.04,6.36
RBM25,NSMCE2,7.99,10.35
RBM28,NSMCE2,3.67,8.36
RNF216,NSMCE2,6.22,2.81
RPL13,NSMCE2,NA,NA
RPS27A,NSMCE2,2.29,4.88
RRP15,NSMCE2,4.79,9.29
RRS1,NSMCE2,5.11,10.4
RSF1,NSMCE2,4.06,11.25
RSL1D1,NSMCE2,3.65,10.26
SAP130,NSMCE2,3.76,4.18
SART1,NSMCE2,5.3,3.36
SEC61A1,NSMCE2,NA,NA
SETX,NSMCE2,4.94,3.91
SLX4,NSMCE2,5.66,2.96
SLX4IP,NSMCE2,5.53,3.55
SMARCC1,NSMCE2,NA,NA
SNIP1,NSMCE2,3.07,2.4
SNW1,NSMCE2,3.41,5.05
SOD1,NSMCE2,NA,NA
SP100,NSMCE2,7.66,4.55
SPRTN,NSMCE2,5.42,3.66
SRRM1,NSMCE2,2.8,3.76
SUMO1,NSMCE2,NA,NA
SUMO2,NSMCE2,2.63,5.15
SUMO3,NSMCE2,2.37,3.62
TARDBP;TDP43,NSMCE2,1.49,1.92
TCOF1,NSMCE2,9.19,13.56
TERF2IP,NSMCE2,2.94,4.67
TNRC18,NSMCE2,NA,NA
TOP2A,NSMCE2,1.57,4.84
TOP2B,NSMCE2,4.91,7.82
TOPORS,NSMCE2,6.48,3.46
TRIM28,NSMCE2,NA,NA
TRIM33,NSMCE2,5.53,3.5
USP39,NSMCE2,0.8,2.77
UTP14A,NSMCE2,7.55,11.97
UTP18,NSMCE2,2.89,1.71
UTP3,NSMCE2,4.79,10.62
WDR43,NSMCE2,3.97,2.92
WDR75,NSMCE2,3.75,2.41
WIZ,NSMCE2,NA,NA
XRCC5,NSMCE2,NA,NA
YEATS2,NSMCE2,4.5,2.65
ZBTB1,NSMCE2,NA,NA
ZBTB12,NSMCE2,5.14,2.77
ZBTB2,NSMCE2,5.21,3.08
ZBTB20,NSMCE2,3.42,2.53
ZBTB25,NSMCE2,4.66,4.01
ZBTB33,NSMCE2,3.68,2.69
ZBTB38,NSMCE2,4.95,1.75
ZBTB5,NSMCE2,5.64,3.11
