"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"AATF","NSMCE2",4.71,6.02,0.1
"AATF","PIAS1",NA,NA,NA
"AATF","PIAS2",NA,NA,NA
"AATF","PIAS3",NA,NA,NA
"AATF","PIAS4",NA,NA,NA
"ACAD9","NSMCE2",NA,NA,NA
"ACAD9","PIAS1",NA,NA,NA
"ACAD9","PIAS2",1.27,2.77,0.03
"ACAD9","PIAS3",NA,NA,NA
"ACAD9","PIAS4",NA,NA,NA
"ACADVL","NSMCE2",NA,NA,NA
"ACADVL","PIAS1",NA,NA,NA
"ACADVL","PIAS2",1.79,1.76,0.38
"ACADVL","PIAS3",NA,NA,NA
"ACADVL","PIAS4",NA,NA,NA
"ACTN4","NSMCE2",NA,NA,NA
"ACTN4","PIAS1",NA,NA,NA
"ACTN4","PIAS2",0.4,2.21,-0.56
"ACTN4","PIAS3",NA,NA,NA
"ACTN4","PIAS4",NA,NA,NA
"ALG2","NSMCE2",NA,NA,NA
"ALG2","PIAS1",NA,NA,NA
"ALG2","PIAS2",2.71,2.69,-0.21
"ALG2","PIAS3",NA,NA,NA
"ALG2","PIAS4",NA,NA,NA
"AP2B1","NSMCE2",NA,NA,NA
"AP2B1","PIAS1",NA,NA,NA
"AP2B1","PIAS2",0.62,2.36,0.33
"AP2B1","PIAS3",NA,NA,NA
"AP2B1","PIAS4",NA,NA,NA
"AP2M1","NSMCE2",NA,NA,NA
"AP2M1","PIAS1",NA,NA,NA
"AP2M1","PIAS2",0.76,2.67,0.17
"AP2M1","PIAS3",NA,NA,NA
"AP2M1","PIAS4",NA,NA,NA
"ARL1","NSMCE2",NA,NA,NA
"ARL1","PIAS1",NA,NA,NA
"ARL1","PIAS2",3.13,1.74,-0.05
"ARL1","PIAS3",NA,NA,NA
"ARL1","PIAS4",NA,NA,NA
"ARMC10","NSMCE2",NA,NA,NA
"ARMC10","PIAS1",NA,NA,NA
"ARMC10","PIAS2",0.56,2.17,0.03
"ARMC10","PIAS3",NA,NA,NA
"ARMC10","PIAS4",NA,NA,NA
"ATAD2","NSMCE2",0.87,2.11,-0.06
"ATAD2","PIAS1",NA,NA,NA
"ATAD2","PIAS2",NA,NA,NA
"ATAD2","PIAS3",NA,NA,NA
"ATAD2","PIAS4",3.15,2.95,0.46
"ATAD5","NSMCE2",2.62,4.56,0.47
"ATAD5","PIAS1",NA,NA,NA
"ATAD5","PIAS2",NA,NA,NA
"ATAD5","PIAS3",NA,NA,NA
"ATAD5","PIAS4",NA,NA,NA
"ATF6","NSMCE2",1.76,2.66,-0.06
"ATF6","PIAS1",NA,NA,NA
"ATF6","PIAS2",NA,NA,NA
"ATF6","PIAS3",NA,NA,NA
"ATF6","PIAS4",3.4,2.18,-0.01
"ATP5F1","NSMCE2",NA,NA,NA
"ATP5F1","PIAS1",NA,NA,NA
"ATP5F1","PIAS2",0.67,5.31,-0.02
"ATP5F1","PIAS3",NA,NA,NA
"ATP5F1","PIAS4",NA,NA,NA
"ATP6V0D1","NSMCE2",NA,NA,NA
"ATP6V0D1","PIAS1",NA,NA,NA
"ATP6V0D1","PIAS2",4.35,3.92,0.22
"ATP6V0D1","PIAS3",NA,NA,NA
"ATP6V0D1","PIAS4",NA,NA,NA
"BARD1","NSMCE2",2.48,1.35,-0.2
"BARD1","PIAS1",NA,NA,NA
"BARD1","PIAS2",NA,NA,NA
"BARD1","PIAS3",NA,NA,NA
"BARD1","PIAS4",NA,NA,NA
"BBX","NSMCE2",2.57,3.6,0.05
"BBX","PIAS1",NA,NA,NA
"BBX","PIAS2",NA,NA,NA
"BBX","PIAS3",NA,NA,NA
"BBX","PIAS4",NA,NA,NA
"BCAP29","NSMCE2",NA,NA,NA
"BCAP29","PIAS1",NA,NA,NA
"BCAP29","PIAS2",0.53,2.33,-0.12
"BCAP29","PIAS3",NA,NA,NA
"BCAP29","PIAS4",NA,NA,NA
"BCAP31","NSMCE2",NA,NA,NA
"BCAP31","PIAS1",NA,NA,NA
"BCAP31","PIAS2",0.45,2.66,0.59
"BCAP31","PIAS3",NA,NA,NA
"BCAP31","PIAS4",NA,NA,NA
"BCL11B","NSMCE2",4.34,4.88,0.08
"BCL11B","PIAS1",3.89,5.77,0.49
"BCL11B","PIAS2",NA,NA,NA
"BCL11B","PIAS3",NA,NA,NA
"BCL11B","PIAS4",NA,NA,NA
"BCLAF1","NSMCE2",1.87,1.96,1.16
"BCLAF1","PIAS1",NA,NA,NA
"BCLAF1","PIAS2",NA,NA,NA
"BCLAF1","PIAS3",NA,NA,NA
"BCLAF1","PIAS4",NA,NA,NA
"BEND3","NSMCE2",2.02,3.97,0.6
"BEND3","PIAS1",NA,NA,NA
"BEND3","PIAS2",NA,NA,NA
"BEND3","PIAS3",NA,NA,NA
"BEND3","PIAS4",NA,NA,NA
"BHLHE40","NSMCE2",3,2.92,-0.01
"BHLHE40","PIAS1",NA,NA,NA
"BHLHE40","PIAS2",NA,NA,NA
"BHLHE40","PIAS3",NA,NA,NA
"BHLHE40","PIAS4",NA,NA,NA
"BHLHE41","NSMCE2",5.18,6.62,0.06
"BHLHE41","PIAS1",NA,NA,NA
"BHLHE41","PIAS2",NA,NA,NA
"BHLHE41","PIAS3",NA,NA,NA
"BHLHE41","PIAS4",NA,NA,NA
"BLM","NSMCE2",4.55,6.03,0.02
"BLM","PIAS1",NA,NA,NA
"BLM","PIAS2",NA,NA,NA
"BLM","PIAS3",NA,NA,NA
"BLM","PIAS4",3.53,4.23,0.83
"BMS1","NSMCE2",2.25,3.5,0.73
"BMS1","PIAS1",NA,NA,NA
"BMS1","PIAS2",NA,NA,NA
"BMS1","PIAS3",NA,NA,NA
"BMS1","PIAS4",NA,NA,NA
"BNC2","NSMCE2",3.45,6.39,-0.23
"BNC2","PIAS1",4.22,3.49,0.53
"BNC2","PIAS2",NA,NA,NA
"BNC2","PIAS3",NA,NA,NA
"BNC2","PIAS4",4.47,5.02,0.28
"BRCA1","NSMCE2",5.03,5.63,0.07
"BRCA1","PIAS1",NA,NA,NA
"BRCA1","PIAS2",NA,NA,NA
"BRCA1","PIAS3",NA,NA,NA
"BRCA1","PIAS4",NA,NA,NA
"BRI3BP","NSMCE2",NA,NA,NA
"BRI3BP","PIAS1",NA,NA,NA
"BRI3BP","PIAS2",0.59,4.86,0.76
"BRI3BP","PIAS3",NA,NA,NA
"BRI3BP","PIAS4",NA,NA,NA
"BRIX1","NSMCE2",2.65,1.91,0.39
"BRIX1","PIAS1",NA,NA,NA
"BRIX1","PIAS2",NA,NA,NA
"BRIX1","PIAS3",NA,NA,NA
"BRIX1","PIAS4",NA,NA,NA
"C11orf84","NSMCE2",4.99,4.22,0.08
"C11orf84","PIAS1",NA,NA,NA
"C11orf84","PIAS2",4.27,4.77,0.1
"C11orf84","PIAS3",NA,NA,NA
"C11orf84","PIAS4",NA,NA,NA
"C14orf93","NSMCE2",3.49,5.32,0.46
"C14orf93","PIAS1",NA,NA,NA
"C14orf93","PIAS2",NA,NA,NA
"C14orf93","PIAS3",NA,NA,NA
"C14orf93","PIAS4",NA,NA,NA
"C18orf25","NSMCE2",4.78,5.42,0.2
"C18orf25","PIAS1",NA,NA,NA
"C18orf25","PIAS2",NA,NA,NA
"C18orf25","PIAS3",NA,NA,NA
"C18orf25","PIAS4",NA,NA,NA
"C2orf47","NSMCE2",NA,NA,NA
"C2orf47","PIAS1",NA,NA,NA
"C2orf47","PIAS2",0.78,2.88,-0.25
"C2orf47","PIAS3",NA,NA,NA
"C2orf47","PIAS4",NA,NA,NA
"CAND1","NSMCE2",NA,NA,NA
"CAND1","PIAS1",NA,NA,NA
"CAND1","PIAS2",0.41,2.1,0.82
"CAND1","PIAS3",NA,NA,NA
"CAND1","PIAS4",NA,NA,NA
"CASP14","NSMCE2",NA,NA,NA
