GENE,NSMCE2,NSMCE2,NSMCE2,PIAS1,PIAS1,PIAS1,PIAS2,PIAS2,PIAS2,PIAS3,PIAS3,PIAS3,PIAS4,PIAS4,PIAS4,ZMIZ2,ZMIZ2,ZMIZ2,ZATT,ZATT,ZATT,Z3,Z3,Z3
NAME,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff
AASS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.768997211,2.09,2.81
AATF,-0.068715751,6.78,4.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ABCB10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.075350225,1.64,3.69
ABCB7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.216782208,1.62,0.44
ABLIM1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.710561338,2.22,0.6
ACAD9,0.700535356,2.18,1.71,NaN,NaN,NaN,0.661974629,3.14,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACO2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.157345779,1.3,0.43
ACTN1,NaN,NaN,NaN,NaN,NaN,NaN,0.18480171,1.62,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACTN4,NaN,NaN,NaN,NaN,NaN,NaN,0.074533345,1.78,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACTR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.400210058,2.38,3.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
