"GENE_NAME","Sumo","Diff","minLogP"
"AATF","LAZSUL",NA,NA
"AATF","NSMCE2","4.9","9.97"
"AATF","PIAS1",NA,NA
"AATF","PIAS2",NA,NA
"AATF","PIAS3",NA,NA
"AATF","PIAS4",NA,NA
"AATF","ZMIZ2",NA,NA
"AATF","ZNF451",NA,NA
"ABCB1","LAZSUL",NA,NA
"ABCB1","NSMCE2",NA,NA
"ABCB1","PIAS1",NA,NA
"ABCB1","PIAS2",NA,NA
"ABCB1","PIAS3",NA,NA
"ABCB1","PIAS4",NA,NA
"ABCB1","ZMIZ2","2.77","4.39"
"ABCB1","ZNF451",NA,NA
"ABCC1","LAZSUL",NA,NA
"ABCC1","NSMCE2",NA,NA
"ABCC1","PIAS1",NA,NA
"ABCC1","PIAS2",NA,NA
"ABCC1","PIAS3",NA,NA
"ABCC1","PIAS4",NA,NA
"ABCC1","ZMIZ2","3.43","6.44"
"ABCC1","ZNF451",NA,NA
"ABHD10","LAZSUL",NA,NA
"ABHD10","NSMCE2",NA,NA
"ABHD10","PIAS1",NA,NA
"ABHD10","PIAS2",NA,NA
"ABHD10","PIAS3","3","5.63"
"ABHD10","PIAS4",NA,NA
"ABHD10","ZMIZ2",NA,NA
"ABHD10","ZNF451",NA,NA
"ACAA2","LAZSUL",NA,NA
"ACAA2","NSMCE2",NA,NA
"ACAA2","PIAS1","3.11","6.74"
"ACAA2","PIAS2",NA,NA
"ACAA2","PIAS3",NA,NA
"ACAA2","PIAS4",NA,NA
"ACAA2","ZMIZ2",NA,NA
"ACAA2","ZNF451",NA,NA
"ACAT1","LAZSUL",NA,NA
"ACAT1","NSMCE2",NA,NA
"ACAT1","PIAS1","3.43","4.63"
"ACAT1","PIAS2",NA,NA
"ACAT1","PIAS3",NA,NA
"ACAT1","PIAS4",NA,NA
"ACAT1","ZMIZ2",NA,NA
"ACAT1","ZNF451",NA,NA
"ACO2","LAZSUL",NA,NA
"ACO2","NSMCE2",NA,NA
"ACO2","PIAS1","4.79","2.96"
"ACO2","PIAS2",NA,NA
"ACO2","PIAS3",NA,NA
"ACO2","PIAS4",NA,NA
"ACO2","ZMIZ2",NA,NA
"ACO2","ZNF451",NA,NA
"ACTB","LAZSUL",NA,NA
"ACTB","NSMCE2",NA,NA
"ACTB","PIAS1","1.68","4.62"
"ACTB","PIAS2",NA,NA
"ACTB","PIAS3",NA,NA
"ACTB","PIAS4",NA,NA
"ACTB","ZMIZ2",NA,NA
"ACTB","ZNF451",NA,NA
"ACTR2","LAZSUL",NA,NA
"ACTR2","NSMCE2",NA,NA
"ACTR2","PIAS1",NA,NA
"ACTR2","PIAS2",NA,NA
"ACTR2","PIAS3",NA,NA
"ACTR2","PIAS4","3.97","6.02"
