"GENE_NAME","Sumo","Diff","minLogP"
"AAAS","LAZSUL",NA,NA
"AAAS","NSMCE2",NA,NA
"AAAS","PIAS1",NA,NA
"AAAS","PIAS2",NA,NA
"AAAS","PIAS3",NA,NA
"AAAS","PIAS4",NA,NA
"AAAS","ZMIZ2","0.82","1.77"
"AAAS","ZNF451",NA,NA
"AATF","LAZSUL",NA,NA
"AATF","NSMCE2","5.73","9.29"
"AATF","PIAS1",NA,NA
"AATF","PIAS2",NA,NA
"AATF","PIAS3",NA,NA
"AATF","PIAS4",NA,NA
"AATF","ZMIZ2",NA,NA
"AATF","ZNF451",NA,NA
"ACLY","LAZSUL",NA,NA
"ACLY","NSMCE2",NA,NA
"ACLY","PIAS1",NA,NA
"ACLY","PIAS2",NA,NA
"ACLY","PIAS3",NA,NA
"ACLY","PIAS4",NA,NA
"ACLY","ZMIZ2","0.26","0.11"
"ACLY","ZNF451",NA,NA
"ACTB","LAZSUL",NA,NA
"ACTB","NSMCE2",NA,NA
"ACTB","PIAS1","1.68","4.62"
"ACTB","PIAS2",NA,NA
"ACTB","PIAS3",NA,NA
"ACTB","PIAS4",NA,NA
"ACTB","ZMIZ2","0.59","0.84"
"ACTB","ZNF451",NA,NA
"ACTR2","LAZSUL",NA,NA
"ACTR2","NSMCE2",NA,NA
"ACTR2","PIAS1",NA,NA
"ACTR2","PIAS2",NA,NA
"ACTR2","PIAS3",NA,NA
"ACTR2","PIAS4","4.43","6.1"
"ACTR2","ZMIZ2","0.56","0.24"
"ACTR2","ZNF451",NA,NA
"ADNP","LAZSUL",NA,NA
"ADNP","NSMCE2",NA,NA
"ADNP","PIAS1","2.72","2.86"
"ADNP","PIAS2",NA,NA
"ADNP","PIAS3",NA,NA
"ADNP","PIAS4",NA,NA
"ADNP","ZMIZ2",NA,NA
"ADNP","ZNF451",NA,NA
"ADNP2","LAZSUL",NA,NA
"ADNP2","NSMCE2",NA,NA
"ADNP2","PIAS1",NA,NA
"ADNP2","PIAS2",NA,NA
"ADNP2","PIAS3",NA,NA
"ADNP2","PIAS4",NA,NA
"ADNP2","ZMIZ2","0.35","0.19"
"ADNP2","ZNF451",NA,NA
"ADSL","LAZSUL",NA,NA
"ADSL","NSMCE2",NA,NA
"ADSL","PIAS1",NA,NA
"ADSL","PIAS2",NA,NA
"ADSL","PIAS3",NA,NA
"ADSL","PIAS4",NA,NA
"ADSL","ZMIZ2","1.39","0.85"
"ADSL","ZNF451",NA,NA
"AHNAK2","LAZSUL",NA,NA
"AHNAK2","NSMCE2",NA,NA
"AHNAK2","PIAS1","4.56","3.3"
"AHNAK2","PIAS2",NA,NA
"AHNAK2","PIAS3",NA,NA
"AHNAK2","PIAS4",NA,NA
"AHNAK2","ZMIZ2",NA,NA
"AHNAK2","ZNF451",NA,NA
"ALDOA","LAZSUL",NA,NA
"ALDOA","NSMCE2",NA,NA
"ALDOA","PIAS1","5.08","2.93"
"ALDOA","PIAS2",NA,NA
"ALDOA","PIAS3",NA,NA
"ALDOA","PIAS4",NA,NA
"ALDOA","ZMIZ2",NA,NA
"ALDOA","ZNF451",NA,NA
"ALKBH5","LAZSUL",NA,NA
"ALKBH5","NSMCE2",NA,NA
"ALKBH5","PIAS1",NA,NA
"ALKBH5","PIAS2",NA,NA
"ALKBH5","PIAS3",NA,NA
"ALKBH5","PIAS4","4.97","12.51"
"ALKBH5","ZMIZ2",NA,NA
"ALKBH5","ZNF451",NA,NA
"ANAPC4","LAZSUL",NA,NA
"ANAPC4","NSMCE2",NA,NA
"ANAPC4","PIAS1",NA,NA
"ANAPC4","PIAS2",NA,NA
"ANAPC4","PIAS3",NA,NA
"ANAPC4","PIAS4",NA,NA
"ANAPC4","ZMIZ2","0.87","0.42"
"ANAPC4","ZNF451",NA,NA
"ANKRD1","LAZSUL",NA,NA
"ANKRD1","NSMCE2","4.63","3.72"
"ANKRD1","PIAS1",NA,NA
"ANKRD1","PIAS2",NA,NA
"ANKRD1","PIAS3",NA,NA
"ANKRD1","PIAS4","5.09","4.62"
"ANKRD1","ZMIZ2",NA,NA
"ANKRD1","ZNF451",NA,NA
"ANKRD32","LAZSUL",NA,NA
"ANKRD32","NSMCE2",NA,NA
"ANKRD32","PIAS1",NA,NA
"ANKRD32","PIAS2",NA,NA
"ANKRD32","PIAS3",NA,NA
"ANKRD32","PIAS4",NA,NA
"ANKRD32","ZMIZ2","0.51","0.21"
"ANKRD32","ZNF451",NA,NA
"ANP32E","LAZSUL",NA,NA
"ANP32E","NSMCE2","6.43","9.25"
"ANP32E","PIAS1",NA,NA
"ANP32E","PIAS2",NA,NA
"ANP32E","PIAS3",NA,NA
"ANP32E","PIAS4",NA,NA
"ANP32E","ZMIZ2",NA,NA
"ANP32E","ZNF451",NA,NA
"AP2M1","LAZSUL",NA,NA
"AP2M1","NSMCE2",NA,NA
"AP2M1","PIAS1",NA,NA
"AP2M1","PIAS2",NA,NA
"AP2M1","PIAS3",NA,NA
"AP2M1","PIAS4",NA,NA
"AP2M1","ZMIZ2","1.03","0.72"
"AP2M1","ZNF451",NA,NA
"APEX1","LAZSUL",NA,NA
"APEX1","NSMCE2",NA,NA
"APEX1","PIAS1","5.24","5.57"
"APEX1","PIAS2",NA,NA
"APEX1","PIAS3",NA,NA
"APEX1","PIAS4",NA,NA
"APEX1","ZMIZ2",NA,NA
"APEX1","ZNF451",NA,NA
"APMAP","LAZSUL",NA,NA
"APMAP","NSMCE2",NA,NA
"APMAP","PIAS1",NA,NA
"APMAP","PIAS2",NA,NA
"APMAP","PIAS3",NA,NA
"APMAP","PIAS4",NA,NA
"APMAP","ZMIZ2","0.67","2.87"
"APMAP","ZNF451",NA,NA
"APTX","LAZSUL",NA,NA
"APTX","NSMCE2",NA,NA
"APTX","PIAS1",NA,NA
"APTX","PIAS2",NA,NA
"APTX","PIAS3",NA,NA
"APTX","PIAS4",NA,NA
"APTX","ZMIZ2","0.42","0.16"
"APTX","ZNF451",NA,NA
"ARID3A","LAZSUL",NA,NA
"ARID3A","NSMCE2",NA,NA
"ARID3A","PIAS1",NA,NA
"ARID3A","PIAS2",NA,NA
"ARID3A","PIAS3",NA,NA
"ARID3A","PIAS4","7.96","12.45"
"ARID3A","ZMIZ2",NA,NA
"ARID3A","ZNF451",NA,NA
"ARID5A","LAZSUL",NA,NA
"ARID5A","NSMCE2",NA,NA
"ARID5A","PIAS1",NA,NA
"ARID5A","PIAS2",NA,NA
"ARID5A","PIAS3",NA,NA
"ARID5A","PIAS4","4.88","6.54"
"ARID5A","ZMIZ2",NA,NA
"ARID5A","ZNF451",NA,NA
"ARID5B","LAZSUL",NA,NA
"ARID5B","NSMCE2",NA,NA
"ARID5B","PIAS1",NA,NA
"ARID5B","PIAS2",NA,NA
"ARID5B","PIAS3",NA,NA
"ARID5B","PIAS4",NA,NA
"ARID5B","ZMIZ2","0.24","0.11"
"ARID5B","ZNF451",NA,NA
"ARMCX1","LAZSUL",NA,NA
"ARMCX1","NSMCE2",NA,NA
"ARMCX1","PIAS1",NA,NA
"ARMCX1","PIAS2",NA,NA
"ARMCX1","PIAS3",NA,NA
"ARMCX1","PIAS4","4.86","8.2"
"ARMCX1","ZMIZ2","0.47","0.2"
"ARMCX1","ZNF451",NA,NA
"ASNS","LAZSUL",NA,NA
"ASNS","NSMCE2",NA,NA
"ASNS","PIAS1",NA,NA
"ASNS","PIAS2",NA,NA
"ASNS","PIAS3",NA,NA
"ASNS","PIAS4",NA,NA
"ASNS","ZMIZ2","0.02","0.01"
"ASNS","ZNF451",NA,NA
"ATAD5","LAZSUL",NA,NA
"ATAD5","NSMCE2",NA,NA
"ATAD5","PIAS1",NA,NA
"ATAD5","PIAS2",NA,NA
"ATAD5","PIAS3",NA,NA
"ATAD5","PIAS4","5.21","7.82"
"ATAD5","ZMIZ2",NA,NA
"ATAD5","ZNF451",NA,NA
"ATF4","LAZSUL",NA,NA
"ATF4","NSMCE2","5.43","3.32"
"ATF4","PIAS1",NA,NA
"ATF4","PIAS2",NA,NA
"ATF4","PIAS3",NA,NA
"ATF4","PIAS4","6.83","5.67"
"ATF4","ZMIZ2",NA,NA
"ATF4","ZNF451",NA,NA
"ATF6","LAZSUL",NA,NA
"ATF6","NSMCE2",NA,NA
"ATF6","PIAS1",NA,NA
"ATF6","PIAS2",NA,NA
"ATF6","PIAS3",NA,NA
"ATF6","PIAS4","3.61","5.04"
"ATF6","ZMIZ2",NA,NA
"ATF6","ZNF451",NA,NA
"ATF6B","LAZSUL",NA,NA
"ATF6B","NSMCE2","4.06","2.86"
"ATF6B","PIAS1",NA,NA
"ATF6B","PIAS2",NA,NA
"ATF6B","PIAS3",NA,NA
"ATF6B","PIAS4",NA,NA
"ATF6B","ZMIZ2","0.44","0.14"
"ATF6B","ZNF451",NA,NA
"ATRX","LAZSUL",NA,NA
"ATRX","NSMCE2",NA,NA
"ATRX","PIAS1",NA,NA
"ATRX","PIAS2",NA,NA
"ATRX","PIAS3",NA,NA
"ATRX","PIAS4","3.95","6.14"
"ATRX","ZMIZ2",NA,NA
"ATRX","ZNF451",NA,NA
"AXL","LAZSUL",NA,NA
"AXL","NSMCE2",NA,NA
"AXL","PIAS1",NA,NA
"AXL","PIAS2",NA,NA
"AXL","PIAS3",NA,NA
"AXL","PIAS4",NA,NA
"AXL","ZMIZ2","0.87","0.36"
"AXL","ZNF451",NA,NA
"BARD1","LAZSUL",NA,NA
"BARD1","NSMCE2","3.96","4.16"
"BARD1","PIAS1",NA,NA
"BARD1","PIAS2",NA,NA
"BARD1","PIAS3",NA,NA
"BARD1","PIAS4","3.51","3.2"
"BARD1","ZMIZ2",NA,NA
