"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"AATF","LAZSUL",NA,NA,NA
"AATF","NSMCE2",5.1,5.29,-0.02
"AATF","PIAS1",NA,NA,NA
"AATF","PIAS2",NA,NA,NA
"AATF","PIAS3",NA,NA,NA
"AATF","PIAS4",NA,NA,NA
"AATF","ZMIZ2",NA,NA,NA
"AATF","ZNF451",NA,NA,NA
"ACTC1;ACTA1;ACTA2;ACTG2","LAZSUL",NA,NA,NA
"ACTC1;ACTA1;ACTA2;ACTG2","NSMCE2",4.59,1.82,-1.02
"ACTC1;ACTA1;ACTA2;ACTG2","PIAS1",NA,NA,NA
"ACTC1;ACTA1;ACTA2;ACTG2","PIAS2",NA,NA,NA
"ACTC1;ACTA1;ACTA2;ACTG2","PIAS3",NA,NA,NA
"ACTC1;ACTA1;ACTA2;ACTG2","PIAS4",NA,NA,NA
"ACTC1;ACTA1;ACTA2;ACTG2","ZMIZ2",NA,NA,NA
"ACTC1;ACTA1;ACTA2;ACTG2","ZNF451",NA,NA,NA
"ACTR2","LAZSUL",NA,NA,NA
"ACTR2","NSMCE2",NA,NA,NA
"ACTR2","PIAS1",NA,NA,NA
"ACTR2","PIAS2",NA,NA,NA
"ACTR2","PIAS3",NA,NA,NA
"ACTR2","PIAS4",3.77,2.17,0.4
"ACTR2","ZMIZ2",NA,NA,NA
"ACTR2","ZNF451",NA,NA,NA
"ADAR","LAZSUL",NA,NA,NA
"ADAR","NSMCE2",2,1.06,-0.7
"ADAR","PIAS1",NA,NA,NA
"ADAR","PIAS2",NA,NA,NA
"ADAR","PIAS3",NA,NA,NA
"ADAR","PIAS4",NA,NA,NA
"ADAR","ZMIZ2",NA,NA,NA
"ADAR","ZNF451",NA,NA,NA
"ADNP","LAZSUL",NA,NA,NA
"ADNP","NSMCE2",NA,NA,NA
"ADNP","PIAS1",NA,NA,NA
"ADNP","PIAS2",NA,NA,NA
"ADNP","PIAS3",NA,NA,NA
"ADNP","PIAS4",3.75,6.84,0.81
"ADNP","ZMIZ2",NA,NA,NA
"ADNP","ZNF451",NA,NA,NA
"ADNP2","LAZSUL",NA,NA,NA
"ADNP2","NSMCE2",NA,NA,NA
"ADNP2","PIAS1",NA,NA,NA
"ADNP2","PIAS2",NA,NA,NA
"ADNP2","PIAS3",NA,NA,NA
"ADNP2","PIAS4",1.28,2.2,0.13
"ADNP2","ZMIZ2",NA,NA,NA
"ADNP2","ZNF451",NA,NA,NA
"AHNAK2","LAZSUL",NA,NA,NA
"AHNAK2","NSMCE2",NA,NA,NA
"AHNAK2","PIAS1",NA,NA,NA
"AHNAK2","PIAS2",NA,NA,NA
"AHNAK2","PIAS3",-3.26,3.21,0.18
"AHNAK2","PIAS4",2.62,1.22,1.53
"AHNAK2","ZMIZ2",NA,NA,NA
"AHNAK2","ZNF451",NA,NA,NA
"ALKBH5","LAZSUL",NA,NA,NA
