"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"AASS","NSMCE2",NA,NA,NA
"AASS","PIAS1",NA,NA,NA
"AASS","PIAS2",NA,NA,NA
"AASS","PIAS3",NA,NA,NA
"AASS","PIAS4",NA,NA,NA
"AASS","LAZSUL",2.81,2.09,0.768997211
"AASS","ZNF451",NA,NA,NA
"AASS","ZMIZ2",NA,NA,NA
"AATF","NSMCE2",4.84,6.78,-0.068715751
"AATF","PIAS1",NA,NA,NA
"AATF","PIAS2",NA,NA,NA
"AATF","PIAS3",NA,NA,NA
"AATF","PIAS4",NA,NA,NA
"AATF","LAZSUL",NA,NA,NA
"AATF","ZNF451",NA,NA,NA
"AATF","ZMIZ2",NA,NA,NA
"ABCB10","NSMCE2",NA,NA,NA
"ABCB10","PIAS1",NA,NA,NA
"ABCB10","PIAS2",NA,NA,NA
"ABCB10","PIAS3",NA,NA,NA
"ABCB10","PIAS4",NA,NA,NA
"ABCB10","LAZSUL",3.69,1.64,0.075350225
"ABCB10","ZNF451",NA,NA,NA
"ABCB10","ZMIZ2",NA,NA,NA
"ABCB7","NSMCE2",NA,NA,NA
"ABCB7","PIAS1",NA,NA,NA
"ABCB7","PIAS2",NA,NA,NA
"ABCB7","PIAS3",NA,NA,NA
"ABCB7","PIAS4",NA,NA,NA
"ABCB7","LAZSUL",0.44,1.62,1.216782208
"ABCB7","ZNF451",NA,NA,NA
"ABCB7","ZMIZ2",NA,NA,NA
"ABLIM1","NSMCE2",NA,NA,NA
"ABLIM1","PIAS1",NA,NA,NA
"ABLIM1","PIAS2",NA,NA,NA
"ABLIM1","PIAS3",NA,NA,NA
"ABLIM1","PIAS4",NA,NA,NA
"ABLIM1","LAZSUL",0.6,2.22,1.710561338
"ABLIM1","ZNF451",NA,NA,NA
"ABLIM1","ZMIZ2",NA,NA,NA
"ACAD9","NSMCE2",1.71,2.18,0.700535356
"ACAD9","PIAS1",NA,NA,NA
"ACAD9","PIAS2",1.2,3.14,0.661974629
"ACAD9","PIAS3",NA,NA,NA
"ACAD9","PIAS4",NA,NA,NA
"ACAD9","LAZSUL",NA,NA,NA
"ACAD9","ZNF451",NA,NA,NA
"ACAD9","ZMIZ2",NA,NA,NA
"ACO2","NSMCE2",NA,NA,NA
"ACO2","PIAS1",NA,NA,NA
"ACO2","PIAS2",NA,NA,NA
"ACO2","PIAS3",NA,NA,NA
"ACO2","PIAS4",NA,NA,NA
"ACO2","LAZSUL",0.43,1.3,4.157345779
"ACO2","ZNF451",NA,NA,NA
"ACO2","ZMIZ2",NA,NA,NA
"ACTN1","NSMCE2",NA,NA,NA
"ACTN1","PIAS1",NA,NA,NA
"ACTN1","PIAS2",0.47,1.62,0.18480171
"ACTN1","PIAS3",NA,NA,NA
"ACTN1","PIAS4",NA,NA,NA
"ACTN1","LAZSUL",NA,NA,NA
"ACTN1","ZNF451",NA,NA,NA
"ACTN1","ZMIZ2",NA,NA,NA
"ACTN4","NSMCE2",NA,NA,NA
"ACTN4","PIAS1",NA,NA,NA
"ACTN4","PIAS2",0.44,1.78,0.074533345
"ACTN4","PIAS3",NA,NA,NA
"ACTN4","PIAS4",NA,NA,NA
"ACTN4","LAZSUL",NA,NA,NA
"ACTN4","ZNF451",NA,NA,NA
"ACTN4","ZMIZ2",NA,NA,NA
"ACTR2","NSMCE2",NA,NA,NA
"ACTR2","PIAS1",NA,NA,NA
"ACTR2","PIAS2",NA,NA,NA
"ACTR2","PIAS3",NA,NA,NA
"ACTR2","PIAS4",3.37,2.38,0.400210058
"ACTR2","LAZSUL",NA,NA,NA
"ACTR2","ZNF451",NA,NA,NA
"ACTR2","ZMIZ2",NA,NA,NA
"ADD1","NSMCE2",NA,NA,NA
"ADD1","PIAS1",2.52,1.69,1.318227766
"ADD1","PIAS2",NA,NA,NA
"ADD1","PIAS3",NA,NA,NA
"ADD1","PIAS4",NA,NA,NA
"ADD1","LAZSUL",NA,NA,NA
